index,uniprot,fullname,database,method,PDB acc,shortname,other_names,source,date,ref,ref_scanmut
Q08345,Q08345,Epithelial discoidin domain-containing receptor 1,ETRA,ToxR,,DDR1,,this study,,"{Finger, 2009 #8137}",T.S.
Q92729,Q92729,Receptor-type tyrosine-protein phosphatase U,ETRA,ToxR,,PTPRU,,this study,,"{Chin, 2005 #8216}",T.S.
Q16832,Q16832,Discoidin domain-containing receptor 2,ETRA,ToxR,,DDR2,,this study,,"{Finger, 2009 #8137}",T.S.
Q16827,Q16827,Receptor-type tyrosine-protein phosphatase O,ETRA,ToxR,,PTPRO,,this study,,"{Chin, 2005 #8216}",T.S.
Q9Y286,Q9Y286,Sialic acid-binding Ig-like lectin 7,ETRA,ToxR,,Siglec7,,this study,,"{Kirrbach, 2013 #7918}",T.S.
Q7L4S7,Q7L4S7,Protein ARMCX6,ETRA,ToxR,,Armcx6,,this study,,"{Kirrbach, 2013 #7918}",T.S.
P35590,P35590,Tyrosine-protein kinase receptor Tie-1,ETRA,ToxR,,Tie1,,this study,,"{Finger, 2009 #8137}",T.S.
P23470,P23470,Receptor-type tyrosine-protein phosphatase gamma,ETRA,ToxR,,PTPRG,,this study,,"{Chin, 2005 #8216}",T.S.
P05026,P05026,Sodium/potassium-transporting ATPase subunit beta-1,ETRA,ToxR,,ATP1B1,,this study,,"{Barwe, 2007 #8192}",T.S.
O75460,O75460,Inositol-requiring enzyme 1,ETRA,ToxR,,Ire1,ERN1,this study,,T.S.,T.S.
P0A6S5,P0A6S5,Cell division protein FtsB,ETRA,TOXCAT,,FtsB,,LaPointe,2013,"{LaPointe, 2013} ","{LaPointe, 2013 #8491}"
P05106,P05106,Integrin beta-3,ETRA,TOXCAT,,ITGB3,,Zhu,2010,"{Zhu, 2010 #8115}","{Zhu, 2010 #8115}"
P08514,P08514,Integrin alpha-Iib,ETRA,TOXCAT,,ITGA2B,,Li,2004,"{Li, 2004 #8237}","{Li, 2004 #8237}"
Q6ZRP7,Q6ZRP7,Sulfhydryl oxidase 2,ETRA,TOXCAT,,QSOX2,,Ried,2016,"{Ried, 2016 #9084}","{Ried, 2012 #7863}"
Q8NI60,Q8NI60,"Atypical kinase COQ8A, mitochondrial",ETRA,TOXCAT,,ADCK3,,Khadria,2014,"{Khadria, 2014 #7971}","{Khadria, 2014 #7971}"
Q12983,Q12983,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,ETRA,TOXCAT,,BNIP3,,Lawrie,2010,"{Lawrie, 2010 #8135}","{Lawrie, 2010 #8135}"
P02724,P02724,Glycophorin A,ETRA,dsTBL,,GpA,,Elazar,2016,"{Elazar, 2016 #8912}","{Elazar, 2016 #8912}"
P04626,P04626,Receptor tyrosine-protein kinase erbB-2,ETRA,dsTBL,,ErbB2,,Elazar,2016,"{Elazar, 2016 #8912;Gerber, 2004 #9098}","{Elazar, 2016 #8912}"
